Vessel name,From,To,Loading condition,hours since last position [h],longitude,latitude
M/S Eco (06),ITTAR,USMSY,Ballast,1,-13.3962828,35.18868592
M/S Eco (06),ITTAR,USMSY,Ballast,1,-13.66023284,35.12852057
M/S Eco (06),ITTAR,USMSY,Ballast,1,-13.9239022,35.07209083
M/S Eco (06),ITTAR,USMSY,Ballast,1,-14.19814006,35.0553354
M/S Eco (06),ITTAR,USMSY,Ballast,1,-14.47226333,35.03796307
M/S Eco (06),ITTAR,USMSY,Ballast,1,-14.7325149,35.02190609
M/S Eco (06),ITTAR,USMSY,Ballast,1,-15.01479063,35.00538848
M/S Eco (06),ITTAR,USMSY,Ballast,1,-15.27845199,34.98227074
M/S Eco (06),ITTAR,USMSY,Ballast,1,-15.54802995,34.94312259
M/S Eco (06),ITTAR,USMSY,Ballast,1,-15.82440829,34.90254062
M/S Eco (06),ITTAR,USMSY,Ballast,1,-16.06641109,34.86934182
M/S Eco (06),ITTAR,USMSY,Ballast,1,-16.31226418,34.83313376
M/S Eco (06),ITTAR,USMSY,Ballast,1,-16.58177953,34.79113942
M/S Eco (06),ITTAR,USMSY,Ballast,1,-16.86077206,34.75459016
M/S Eco (06),ITTAR,USMSY,Ballast,1,-17.12212148,34.71488212
M/S Eco (06),ITTAR,USMSY,Ballast,1,-17.39558008,34.67657089
M/S Eco (06),ITTAR,USMSY,Ballast,1,-17.65062853,34.64267489
M/S Eco (06),ITTAR,USMSY,Ballast,1,-17.89915667,34.58335667
M/S Eco (06),ITTAR,USMSY,Ballast,1,-18.15382562,34.52796925
M/S Eco (06),ITTAR,USMSY,Ballast,1,-18.4100932,34.49694415
M/S Eco (06),ITTAR,USMSY,Ballast,1,-18.67939097,34.46570107
M/S Eco (06),ITTAR,USMSY,Ballast,1,-18.92931578,34.43478078
M/S Eco (06),ITTAR,USMSY,Ballast,1,-19.18700859,34.40380957
M/S Eco (06),ITTAR,USMSY,Ballast,1,-19.46452673,34.37186696
M/S Eco (06),ITTAR,USMSY,Ballast,1,-19.70982291,34.34522896
M/S Eco (06),ITTAR,USMSY,Ballast,1,-19.98595837,34.31210799
M/S Eco (06),ITTAR,USMSY,Ballast,1,-20.2525663,34.26646649
M/S Eco (06),ITTAR,USMSY,Ballast,1,-20.51551705,34.22372621
M/S Eco (06),ITTAR,USMSY,Ballast,1,-20.77638092,34.18911666
M/S Eco (06),ITTAR,USMSY,Ballast,1,-21.04935968,34.1509515
M/S Eco (06),ITTAR,USMSY,Ballast,1,-21.31680729,34.1137537
M/S Eco (06),ITTAR,USMSY,Ballast,1,-21.5799779,34.07494382
M/S Eco (06),ITTAR,USMSY,Ballast,1,-21.85818873,34.03877109
M/S Eco (06),ITTAR,USMSY,Ballast,1,-22.11552845,34.00009239
M/S Eco (06),ITTAR,USMSY,Ballast,1,-22.39191249,33.95981601
M/S Eco (06),ITTAR,USMSY,Ballast,1,-22.68041116,33.92125032
M/S Eco (06),ITTAR,USMSY,Ballast,1,-22.9648935,33.88288335
M/S Eco (06),ITTAR,USMSY,Ballast,1,-23.23061956,33.84812373
M/S Eco (06),ITTAR,USMSY,Ballast,1,-23.5123711,33.80096583
M/S Eco (06),ITTAR,USMSY,Ballast,1,-23.77516353,33.75750064
M/S Eco (06),ITTAR,USMSY,Ballast,1,-24.02907581,33.71804506
M/S Eco (06),ITTAR,USMSY,Ballast,1,-24.30546688,33.68970112
M/S Eco (06),ITTAR,USMSY,Ballast,1,-24.56556094,33.65384584
M/S Eco (06),ITTAR,USMSY,Ballast,1,-24.84259757,33.6107107
M/S Eco (06),ITTAR,USMSY,Ballast,1,-25.09780205,33.57005868
M/S Eco (06),ITTAR,USMSY,Ballast,1,-25.37200242,33.53274289
M/S Eco (06),ITTAR,USMSY,Ballast,1,-25.64204062,33.4948418
M/S Eco (06),ITTAR,USMSY,Ballast,1,-25.90187833,33.45543833
M/S Eco (06),ITTAR,USMSY,Ballast,1,-26.15097684,33.41470518
M/S Eco (06),ITTAR,USMSY,Ballast,1,-26.42429573,33.37504144
M/S Eco (06),ITTAR,USMSY,Ballast,1,-26.69822556,33.33877502
M/S Eco (06),ITTAR,USMSY,Ballast,1,-26.96710626,33.29833968
M/S Eco (06),ITTAR,USMSY,Ballast,1,-27.22679105,33.26209135
M/S Eco (06),ITTAR,USMSY,Ballast,1,-27.50401,33.22397667
M/S Eco (06),ITTAR,USMSY,Ballast,1,-27.76663753,33.19009898
M/S Eco (06),ITTAR,USMSY,Ballast,1,-28.04293816,33.14604165
M/S Eco (06),ITTAR,USMSY,Ballast,1,-28.31044675,33.10775684
M/S Eco (06),ITTAR,USMSY,Ballast,1,-28.56710709,33.07127878
M/S Eco (06),ITTAR,USMSY,Ballast,1,-28.83652878,33.03415542
M/S Eco (06),ITTAR,USMSY,Ballast,1,-29.10237833,32.995455
M/S Eco (06),ITTAR,USMSY,Ballast,1,-29.3763323,32.95421396
M/S Eco (06),ITTAR,USMSY,Ballast,1,-29.63396463,32.9152754
